ID,Category,Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,CorrectAns1,CorrectAns2,CorrectAns3
11,PEOPLE & ORGANIZATION,An example of an external influence on HRM objectives and strategy is:,Actions Of Competitors, Firm’s Approach To Flexible Working, Strength Of Internal Communication , Firm’s Organizational Structure,NIL,NIL,NIL,NIL,NIL,NIL,Actions Of Competitors,NIL,NIL
12,PEOPLE & ORGANIZATION,"These are all strategic activities involved in HRM, except which one?",Inventory Management , Employee Engagement, Workforce Planning, Recruitment And Selection,NIL,NIL,NIL,NIL,NIL,NIL,Inventory Management ,NIL,NIL
13,PEOPLE & ORGANIZATION,"A timeless articulation of purpose,  values, key objectives, beliefs and principal activities is referred to as:",Vision, Job Description, Mission Statement, Bechmarking,NIL,NIL,NIL,NIL,NIL,NIL, Mission Statement,NIL,NIL
14,PEOPLE & ORGANIZATION,"The overarching, long-term, emotionally driven destination is represented by the company’s:",Mission, Vision, Values, Strategy,NIL,NIL,NIL,NIL,NIL,NIL, Vision,NIL,NIL
15,PEOPLE & ORGANIZATION,The firm’s intention to create  and sustain value for shareholders is called:,Strategy, Mission, Vision, Purpose,NIL,NIL,NIL,NIL,NIL,NIL,Strategy,NIL,NIL
16,PEOPLE & ORGANIZATION,Doing the right things:,Proactivity, Productivity, Efficiency, Effectiveness,NIL,NIL,NIL,NIL,NIL,NIL, Effectiveness,NIL,NIL
17,PEOPLE & ORGANIZATION,Doing things right:,Efficiency, Effectiveness, Productivity, Proactivity,NIL,NIL,NIL,NIL,NIL,NIL,Efficiency,NIL,NIL
18,PEOPLE & ORGANIZATION,What is CBS?,Current Business Situation, Creative Brainstorming Scheme, Combination Business Strategy, Continental Business Systems,NIL,NIL,NIL,NIL,NIL,NIL,Nil,NIL,NIL
19,PEOPLE & ORGANIZATION,What is not part of Continental's Quality Strategy?,Vision, Scope, Strategic Goals & Kpis, Mission Statement,NIL,NIL,NIL,NIL,NIL,NIL, Mission Statement,NIL,NIL
20,PEOPLE & ORGANIZATION,What is not part of Continental's Quality Strategy?, Customer Care, Strategic Actions & Kpis, Scope, Vision,NIL,NIL,NIL,NIL,NIL,NIL, Customer Care,NIL,NIL
21,PEOPLE & ORGANIZATION,How many layers does the Continental Quality Strategy have?,7,4,5,2,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
22,PEOPLE & ORGANIZATION,How many of the Continental Quality Strategy layers are the same for all divisions?, All Of Them, None,2,3,NIL,NIL,NIL,NIL,NIL,NIL,3,NIL,NIL
23,PRODUCTION & DELIVERY,“Jidoka” is:, Asian Software System, Intelligent Automation, Continental Branch In Asia, Martial Arts Technique,NIL,NIL,NIL,NIL,NIL,NIL, Intelligent Automation,NIL,NIL
24,PRODUCTION & DELIVERY,A data-driven improvement cycle used for improving and stabilizing business processes and designs is called:, Kaizen, Dmaic, Deming Cycle, Cycle Time,NIL,NIL,NIL,NIL,NIL,NIL, Dmaic,NIL,NIL
25,PRODUCTION & DELIVERY,What is not part of the DMAIC?, Measure, Analyze, Control, Import,NIL,NIL,NIL,NIL,NIL,NIL, Analyze,NIL,NIL
26,PRODUCTION & DELIVERY,What is not part of the DMAIC?, Define, Confirm, Analyze, Measure,NIL,NIL,NIL,NIL,NIL,NIL, Confirm,NIL,NIL
27,PRODUCTION & DELIVERY,What is not part of the DMAIC?, Automize, Control, Define, Improve,NIL,NIL,NIL,NIL,NIL,NIL, Automize,NIL,NIL
28,PRODUCTION & DELIVERY,What is “Kanban”?, Team Building Method, Alteration Of The Canvas Business Model, Waste, System To Control Logistical Chain,NIL,NIL,NIL,NIL,NIL,NIL, System To Control Logistical Chain,NIL,NIL
29,PRODUCTION & DELIVERY,Kanban is related to which production optimization technique?, Lean Managmement, Just In Time Manufacturing, Multivariate Optimization, Engineer-To-Order,NIL,NIL,NIL,NIL,NIL,NIL, Just In Time Manufacturing,NIL,NIL
30,PRODUCTION & DELIVERY,The abbreviation “ppm” means:, Parts Per Million, Parts Per Minute, Proactive Power Management, Personal Programme Manager,NIL,NIL,NIL,NIL,NIL,NIL, Parts Per Million,NIL,NIL
31,PRODUCTION & DELIVERY,“PPAP” means:, Production Part Approval Process, Productive Process Action Plan, Product Placement Automation Plan, Practical Production Approval Programme,NIL,NIL,NIL,NIL,NIL,NIL, Production Part Approval Process,NIL,NIL
32,PRODUCTION & DELIVERY,The production part approval process is mandatory for:, Newly Developed Products, Production Relocation, Practical Production Approval , Production Part Approval Process,NIL,NIL,NIL,NIL,NIL,NIL, Production Part Approval Process,NIL,NIL
33,PRODUCTION & DELIVERY,PPAP helps approving production designs and processes at what point of manufacturing?, Before, After, During, All Of The Answers Are Correct,NIL,NIL,NIL,NIL,NIL,NIL, All Of The Answers Are Correct,NIL,NIL
34,PRODUCTION & DELIVERY,The procedure of examining manufactured products if they meet the defined requirements is called:, Productivity Measurement, Estimation Of Effectiveness, Sample Part Inspection, Automatic Optical Inspection,NIL,NIL,NIL,NIL,NIL,NIL, Sample Part Inspection,NIL,NIL
35,PRODUCTION & DELIVERY,"What does ""SOP"" mean?", Standard Operation Process, Supervisor Of Production, Start Of Production, Safety Operations Programme,NIL,NIL,NIL,NIL,NIL,NIL, Start Of Production,NIL,NIL
36,PRODUCTION & DELIVERY,What is inevitable before shipping products to the planned destination?, Jidoka, Production Part Approval Process, Black-Box-Testing, Root Cause Analysis,NIL,NIL,NIL,NIL,NIL,NIL, Production Part Approval Process,NIL,NIL
37,PRODUCTION & DELIVERY,Which testing procedure ensures the electromagnetic compatibilty?, Emi, Emc, Ec, Emcb,NIL,NIL,NIL,NIL,NIL,NIL, Emc,NIL,NIL
38,PRODUCTION & DELIVERY,The EMC testing method ensures:, Electromagnatic Capability, External Management Communication, Electromagnetic Compatibility, Enterprise Mobile Connection,NIL,NIL,NIL,NIL,NIL,NIL, Electromagnetic Compatibility,NIL,NIL
39,PRODUCTION & DELIVERY,What is another term for first pass yield?, First Part Approval, Throughput Yield, Pass At Once, Spare Part Yield,NIL,NIL,NIL,NIL,NIL,NIL, Throughput Yield,NIL,NIL
40,PRODUCTION & DELIVERY,What products are counted out of an individual process to be first pass yield?, Parts With Newest Technology, Defectives Only, Spare Parts, Only Good Units With No Rework,NIL,NIL,NIL,NIL,NIL,NIL, Only Good Units With No Rework,NIL,NIL
41,PRODUCTION & DELIVERY,What does FPY mean?, First Probable Year, Frequency Progress Yield, First Pass Yield, Finished Product Yield,NIL,NIL,NIL,NIL,NIL,NIL, First Pass Yield,NIL,NIL
42,PRODUCTION & DELIVERY,What is the minimum rate a company expects to ear when investing in a project called?, Hurdle Rate, Internal Rate Of Return, Prime Rate, Interest Rate,NIL,NIL,NIL,NIL,NIL,NIL, Hurdle Rate,NIL,NIL
43,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What are the international standards on quality management and quality assurance called?, Iso 9001, Ifrs, Ias, Ppap ,NIL,NIL,NIL,NIL,NIL,NIL, Iso 9001,NIL,NIL
44,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,The IOS 9001 help companies.., Keeping Within Budget, During Recruitment Process, Maintaining Efficient Quality System, Implementing “Kanban”,NIL,NIL,NIL,NIL,NIL,NIL, Maintaining Efficient Quality System,NIL,NIL
45,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,The international standards on quality management (IOS 9001) are specific to:, Manufacturing Industry, Service Sector," Agriculture, Mining, Forestry", Can Be Applied To Any Industry,NIL,NIL,NIL,NIL,NIL,NIL, Can Be Applied To Any Industry,NIL,NIL
46,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,The IOS 9001 are based on the:, 5S, 8 Quality Management Principles, Deming Cycle, 7 Kinds Of Waste,NIL,NIL,NIL,NIL,NIL,NIL, 8 Quality Management Principles,NIL,NIL
47,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,The term “AOI” stands for:, Automotive Optical Illusion, Art Of Internet, Automatic Organized Intelligence, Automatic Optical Inspection ,NIL,NIL,NIL,NIL,NIL,NIL, Automatic Optical Inspection ,NIL,NIL
48,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does PLC mean?, Product Launch Cost, Project Lline Cycle, Programme Labour Cost, Product Life Cycle,NIL,NIL,NIL,NIL,NIL,NIL,Nil,NIL,NIL
49,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,A detailed step-by-step description of the company’s customary method of handling activities is a:, Policy, Procedure, Rule, Vision,NIL,NIL,NIL,NIL,NIL,NIL, Procedure,NIL,NIL
50,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,The total time from the beginning to the end of a process is called:, Process Time, Delay Time, Cycle Time, Lead Time,NIL,NIL,NIL,NIL,NIL,NIL, Cycle Time,NIL,NIL
51,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What kind of testing is validating the functionality of a system based on input and output without looking at it’s internal logic?, Unit Testing, Structural Testing, Black-Box-Testing, Performance Testing,NIL,NIL,NIL,NIL,NIL,NIL, Black-Box-Testing,NIL,NIL
52,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,On what kind of approach is the scrum software development framework based on?, Waterfall, Build And Fix, Extreme Programming, Incremental And Iterative,NIL,NIL,NIL,NIL,NIL,NIL,Nil,NIL,NIL
53,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What kind of approach is applied in test-driven development?," Create A Test First, Then Implement", Two Lines Of Tests For One Line Of Code, Assertion Tests For Input/ Outputs, Full White-Box-Test After Implementation,NIL,NIL,NIL,NIL,NIL,NIL," Create A Test First, Then Implement",NIL,NIL
54,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does a white-box-test examine?, The Result Of An Empty Input Box, The Internal Structure Of A System, A Null Pointer Exception, A Component Of The Gui,NIL,NIL,NIL,NIL,NIL,NIL, The Internal Structure Of A System,NIL,NIL
55,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not a type of documentation in common software projects?, Technical Documentation, User Documentation, Requirement Documentation, Risk Documentation,NIL,NIL,NIL,NIL,NIL,NIL, Risk Documentation,NIL,NIL
56,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What  is an iterative interrogative technique used to explore the cause-and-effect relationships underlying a problem?, 3Hows, 5Whys, Deming Cycle, 4W2H,NIL,NIL,NIL,NIL,NIL,NIL, 5Whys,NIL,NIL
57,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the Fishbone diagram also called?, Kanban, 8D-Report, Waterfall Diagram, Cause-And-Effect Diagram,NIL,NIL,NIL,NIL,NIL,NIL, Cause-And-Effect Diagram,NIL,NIL
58,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does FTA stand for?, Failure Tree Analysis, Frontend Technical Approval, Future Trend Analysis, Field Traceability Approach,NIL,NIL,NIL,NIL,NIL,NIL, Failure Tree Analysis,NIL,NIL
59,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is Ishikawa?, Logistic Control System, Business Model, Cause-And-Effect Diagram, Software Development Tool,NIL,NIL,NIL,NIL,NIL,NIL, Cause-And-Effect Diagram,NIL,NIL
60,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"The fishbone diagram typically inlcudes the following categories, except:", People, Environment, Measurements, Budget,NIL,NIL,NIL,NIL,NIL,NIL, Budget,NIL,NIL
61,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"The fishbone diagram typically includes the following categories, except:", Economy, Materials, Methods, People,NIL,NIL,NIL,NIL,NIL,NIL, Economy,NIL,NIL
62,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"The fishbone diagram typically includes the following categories, except:", Measurements, Machines, Feasability, Environment,NIL,NIL,NIL,NIL,NIL,NIL, Feasability,NIL,NIL
63,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does CMMI refer to?, Capability Maturity Model Integration, Change Management Method Idea, Compatibility Man Machine Interface, Continental Magnetic Machine Integration,NIL,NIL,NIL,NIL,NIL,NIL, Capability Maturity Model Integration,NIL,NIL
64,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is CMMI?, Business Strategy, Process Improvement And Appraisal Programme, International Budgeting Standards, Project Management Tool,NIL,NIL,NIL,NIL,NIL,NIL, Process Improvement And Appraisal Programme,NIL,NIL
65,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the highly accelerated life test?, Method To Determine Occupancy Rate, Testing For Accelerating Product Reliability, Financial Analysis, Average Utilization Measurement,NIL,NIL,NIL,NIL,NIL,NIL, Testing For Accelerating Product Reliability,NIL,NIL
66,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does HALT mean?, Highly Applicable Label Type, Holistic Arbitrary Label Testing, Hardware Architecture Level Tesimonial, Highly Accelerated Life Test,NIL,NIL,NIL,NIL,NIL,NIL, Highly Accelerated Life Test,NIL,NIL
67,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,How many stages does the product life cycle have?,6,3,4,10,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
68,MANAGEMENT & SUPPORT PROCESS,"These are part of the 8 quality management principles, except from", Customer Focus, Leadership, Involvement Of People, Factual Approach To Decision Making,NIL,NIL,NIL,NIL,NIL,NIL,Nil,NIL,NIL
69,MANAGEMENT & SUPPORT PROCESS,"These are part of the 8 quality management principles, except from", Process Approach, Improvement Of People,Leadership, Mutually Beneficial Supplier Relationships,NIL,NIL,NIL,NIL,NIL,NIL, Improvement Of People,NIL,NIL
70,MANAGEMENT & SUPPORT PROCESS,Which department is in charge of sourcing quality parts?, Industrial Engineering, Sales, Purchasing, Marketing,NIL,NIL,NIL,NIL,NIL,NIL, Purchasing,NIL,NIL
71,MANAGEMENT & SUPPORT PROCESS,What is not part of the “5S”?, Standardize, Sustain, Store, Shine,NIL,NIL,NIL,NIL,NIL,NIL, Store,NIL,NIL
72,MANAGEMENT & SUPPORT PROCESS,What is not part of the “5S”?, Sustain, Support, Set In Order, Sort,NIL,NIL,NIL,NIL,NIL,NIL, Support,NIL,NIL
73,MANAGEMENT & SUPPORT PROCESS,What is not part of the “5S”?, Set In Order, Standardize, Sort, Share,NIL,NIL,NIL,NIL,NIL,NIL, Share,NIL,NIL
74,MANAGEMENT & SUPPORT PROCESS,What is not part of the “5S”?, Signal, Shine, Sustain, Standardize,NIL,NIL,NIL,NIL,NIL,NIL, Signal,NIL,NIL
75,MANAGEMENT & SUPPORT PROCESS,What is not part of the “5S”?, Shine, Set In Order, Standardize, Scatter,NIL,NIL,NIL,NIL,NIL,NIL, Scatter,NIL,NIL
76,MANAGEMENT & SUPPORT PROCESS,What is not part of the Deming cycle?, Plan, Do, Check, Recycle,NIL,NIL,NIL,NIL,NIL,NIL, Recycle,NIL,NIL
77,MANAGEMENT & SUPPORT PROCESS,What is not part of the Deming cycle?, Check, Read, Plan, Act,NIL,NIL,NIL,NIL,NIL,NIL, Read,NIL,NIL
78,MANAGEMENT & SUPPORT PROCESS,What is not part of the Deming cycle?, Do, Act, Measure, Check,NIL,NIL,NIL,NIL,NIL,NIL, Measure,NIL,NIL
79,MANAGEMENT & SUPPORT PROCESS,What is not part of the Deming cycle?, Act, Check, Do, Prove,NIL,NIL,NIL,NIL,NIL,NIL, Prove,NIL,NIL
80,MANAGEMENT & SUPPORT PROCESS,There are 7 different kinds of waste. What is not considered as waste?, Marketing, Defects, Overproduction, Transportation,NIL,NIL,NIL,NIL,NIL,NIL, Marketing,NIL,NIL
81,MANAGEMENT & SUPPORT PROCESS,"These are different kinds of waste, except which one?", Inventory, Motion, Accounting, Over-Processing,NIL,NIL,NIL,NIL,NIL,NIL, Accounting,NIL,NIL
82,MANAGEMENT & SUPPORT PROCESS,There are 7 different kinds of waste. What is not considered as waste?, Waiting, Supply Chain Management, Transportation, Overproduction,NIL,NIL,NIL,NIL,NIL,NIL, Supply Chain Management,NIL,NIL
83,MANAGEMENT & SUPPORT PROCESS,There are 7 different kinds of waste. What is not considered as waste?, Purchasing, Motion, Defects, Waiting,NIL,NIL,NIL,NIL,NIL,NIL, Purchasing,NIL,NIL
84,MANAGEMENT & SUPPORT PROCESS,"These are different kinds of waste, except which one?", Over-Processing, Waiting, Inventory, Assembly Line,NIL,NIL,NIL,NIL,NIL,NIL, Assembly Line,NIL,NIL
85,MANAGEMENT & SUPPORT PROCESS,Lean manufacturing is used in:, Manufacturing Industries, Healthcare Services, Other Service Industries, All Answers Are Correct,NIL,NIL,NIL,NIL,NIL,NIL, All Answers Are Correct,NIL,NIL
86,MANAGEMENT & SUPPORT PROCESS," What is a top down, deductive failure analysis that tries to combine a series of lower-level events?", Fishbone Analysis, Triangle Analysis,Failure Tree Analysis, Failure Pyramid Analysis,NIL,NIL,NIL,NIL,NIL,NIL,Failure Tree Analysis,NIL,NIL
87,MANAGEMENT & SUPPORT PROCESS,The main aim of statistical quality control in industrial application is to have, Better Quality At Lower Cost, Better Quality At Any Cost, Better Quality At Higher Cost, None Of The Above,NIL,NIL,NIL,NIL,NIL,NIL, Better Quality At Lower Cost,NIL,NIL
88,MANAGEMENT & SUPPORT PROCESS,What is the first stage in any quality improvement initiative?, Planning, Check The Talk, Analyze The Data, Management Commitment,NIL,NIL,NIL,NIL,NIL,NIL, Management Commitment,NIL,NIL
89,MANAGEMENT & SUPPORT PROCESS,What is root cause analysis?, Something A Gardener Would Use, Problem Solving Technique, One Of The Quality Circle Tools, Part Of Fmea,NIL,NIL,NIL,NIL,NIL,NIL, Problem Solving Technique,NIL,NIL
90,MANAGEMENT & SUPPORT PROCESS,FEMA is, Failure Mode Effects Analysis, Business Model, Financial Estimation Measure Accounting, Problem Solving Technique,NIL,NIL,NIL,NIL,NIL,NIL, Failure Mode Effects Analysis,NIL,NIL
91,MANAGEMENT & SUPPORT PROCESS,How can a company prove its good quality?, Break-Even-Analysis, 5S, Deming Cycle, Quality Audit,NIL,NIL,NIL,NIL,NIL,NIL, Quality Audit,NIL,NIL
92,MANAGEMENT & SUPPORT PROCESS,Which is the best project plan?, Fastest, Realistic, Cheapest, Highest Return,NIL,NIL,NIL,NIL,NIL,NIL, Realistic,NIL,NIL
93,MANAGEMENT & SUPPORT PROCESS,Achieving higher customer value with minimum levels of inventory investment  is:, Product Placement, Pricing Policy, Risk Management, Lean Management,NIL,NIL,NIL,NIL,NIL,NIL, Lean Management,NIL,NIL
94,MANAGEMENT & SUPPORT PROCESS,Which of these steps is necessary when implementing quality management?, Quality Estimation, Quality Request, Quality Assurance, Quality Definition,NIL,NIL,NIL,NIL,NIL,NIL, Quality Assurance,NIL,NIL
95,MANAGEMENT & SUPPORT PROCESS,Which of these steps is necessary when implementing quality management?, Quality Control, Quality Measurement, Quality Quantification, Quality Definition,NIL,NIL,NIL,NIL,NIL,NIL, Quality Control,NIL,NIL
96,MANAGEMENT & SUPPORT PROCESS,Which of these steps is necessary when implementing quality management?, Quality Movement, Quality Report, Quality Transfer, Quality Improvement,NIL,NIL,NIL,NIL,NIL,NIL, Quality Improvement,NIL,NIL
97,MANAGEMENT & SUPPORT PROCESS,Which of these steps is necessary when implementing quality management?, Quality Analysis, Quality Planning, Quality Function, Quality Alteration,NIL,NIL,NIL,NIL,NIL,NIL, Quality Planning,NIL,NIL
98,SUPPLIER MANAGEMENT,What does “OEE” stand for?, Order Electronical Enquiry, Output Efficiency Estimation, Overall Equipment Effectiveness, Old English Etiquette,NIL,NIL,NIL,NIL,NIL,NIL, Overall Equipment Effectiveness,NIL,NIL
99,SUPPLIER MANAGEMENT,"These are part of the 5 basic performance objectives for all types of operation, except from", Quality, Speed, Productivity, Reliability,NIL,NIL,NIL,NIL,NIL,NIL, Productivity,NIL,NIL
100,SUPPLIER MANAGEMENT,"These are part of the 5 basic performance objectives for all types of operation, except from", Flexibility, Quality, Cost, Inventory,NIL,NIL,NIL,NIL,NIL,NIL, Inventory,NIL,NIL
101,SUPPLIER MANAGEMENT,"These are part of the 5 basic performance objectives for all types of operation, except from", Speed, Stock, Flexibility, Cost,NIL,NIL,NIL,NIL,NIL,NIL,Nil,NIL,NIL
102,SUPPLIER MANAGEMENT,What does “QR” in “QR-Code” stand for?, Quick Response, Quality Report, Question Response, Quantitative Result,NIL,NIL,NIL,NIL,NIL,NIL, Quick Response,NIL,NIL
103,SUPPLIER MANAGEMENT,"What is the ""8D Report""?", Project Management Technique, Team Building Method, Product Approval Plan, Problem Solving Approach,NIL,NIL,NIL,NIL,NIL,NIL, Problem Solving Approach,NIL,NIL
104,SUPPLIER MANAGEMENT,"What is the ""8D-Report"" based on?", 8 Disciplines Of Problem Solving, 8 Day Progess Period, 8 Disciplines Of Financial Accounting, 8 Principles Of Danger,NIL,NIL,NIL,NIL,NIL,NIL, 8 Disciplines Of Problem Solving,NIL,NIL
105,SUPPLIER MANAGEMENT,What does “QR” in “QR-Code” stand for?, Quick Response, Quality Report, Question Response, Quantitative Result,NIL,NIL,NIL,NIL,NIL,NIL, Quick Response,NIL,NIL
106,SUPPLIER MANAGEMENT,"What is the ""8D Report""?", Project Management Technique, Team Building Method, Product Approval Plan, Problem Solving Approach,NIL,NIL,NIL,NIL,NIL,NIL, Problem Solving Approach,NIL,NIL
107,SUPPLIER MANAGEMENT,"What is the ""8D-Report"" based on?", 8 Disciplines Of Problem Solving, 8 Day Progess Period, 8 Disciplines Of Financial Accounting, 8 Principles Of Danger,NIL,NIL,NIL,NIL,NIL,NIL, 8 Disciplines Of Problem Solving,NIL,NIL
108,PEOPLE & ORGANIZATION,What does “poka yoke” mean?,Japanese word for hello,Making jokes to ease working atmosphere,Bad joke,Mistake-proofing,NIL,NIL,NIL,NIL,NIL,NIL,Mistake-proofing,NIL,NIL
109,PEOPLE & ORGANIZATION,What is the Japanese term for procedures that prevent mistakes from becoming defects?,Poka yoke,Kaizen,Jidoka,Kanban,NIL,NIL,NIL,NIL,NIL,NIL,Poka yoke,NIL,NIL
110,PEOPLE & ORGANIZATION,There is a Japanese term that means “avoid mistakes”. Which one is it?,Sushi,Jidoka,Poka yoke,Kaizen,NIL,NIL,NIL,NIL,NIL,NIL,Poka yoke,NIL,NIL
111,PEOPLE & ORGANIZATION,Which of the following external influences is most likely to affect HRM in a manufacturing firm?,Financial constraints,Introduction of new technology,Government directives on service industries,Change in environmental legislation,NIL,NIL,NIL,NIL,NIL,NIL,Change in environmental legislation,NIL,NIL
112,PEOPLE & ORGANIZATION,An example of an external influence on HRM objectives and strategy is:,Actions of competitors,Firm’s approach to flexible working,Strength of internal communication ,Firm’s organizational structure,NIL,NIL,NIL,NIL,NIL,NIL,Actions of competitors,NIL,NIL
113,PEOPLE & ORGANIZATION,"These are all strategic activities involved in HRM, except which one?",Inventory management ,Employee engagement,Workforce planning,Recruitment and selection,NIL,NIL,NIL,NIL,NIL,NIL,Inventory management ,NIL,NIL
114,PEOPLE & ORGANIZATION,"A timeless articulation of purpose,  values, key objectives, beliefs and principal activities is referred to as:",Vision,Job description,Mission statement,Benchmarking,NIL,NIL,NIL,NIL,NIL,NIL,Mission statement,NIL,NIL
115,PEOPLE & ORGANIZATION,"The overarching, long-term, emotionally driven destination is represented by the company’s:",Mission,Vision,Values,Strategy,NIL,NIL,NIL,NIL,NIL,NIL,Vision,NIL,NIL
116,PEOPLE & ORGANIZATION,The firm’s intention to create  and sustain value for shareholders is called:,Strategy,Mission,Vision,Purpose,NIL,NIL,NIL,NIL,NIL,NIL,Strategy,NIL,NIL
117,PEOPLE & ORGANIZATION,How many countries in the world have the Continental Tires plants?,1,100,15,200,NIL,NIL,NIL,NIL,NIL,NIL,15,NIL,NIL
118,PEOPLE & ORGANIZATION,How many tire production locations are there around the world?,1,200,20,100,NIL,NIL,NIL,NIL,NIL,NIL,20,NIL,NIL
119,PEOPLE & ORGANIZATION,The key targets of Corporate Project Management are the following except,Strengthen Management project with continental,Define and implement few but effective project management standards,Provide Pragmatic support for project manager,Problem solving,NIL,NIL,NIL,NIL,NIL,NIL,Problem solving,NIL,NIL
120,PEOPLE & ORGANIZATION,"At all our locations, the quality of our products is ensured by the following except  ",Advanced technologies ,Ultra-modern production facilities ,Continuous production controls,High quality customer service,NIL,NIL,NIL,NIL,NIL,NIL,High quality customer service,NIL,NIL
121,PEOPLE & ORGANIZATION,The Customer Service organization in Tire Division assumes global responsibility for the processes of  the following except ,Warranty complaint handling,Technical product service,Product performance monitoring ,Time management,NIL,NIL,NIL,NIL,NIL,NIL,Time management,NIL,NIL
122,PEOPLE & ORGANIZATION,"Under the Tire division, which of the following related to Standard Processes is not correct?",Process is improved systematically and objectively ,It helps in the visualization of what is normal  vs. abnormal ,It increases deviations to the standard by making the identification easy ,T simplifies job rotation of employees ,NIL,NIL,NIL,NIL,NIL,NIL,It increases deviations to the standard by making the identification easy ,NIL,NIL
123,PEOPLE & ORGANIZATION,The following words have the same concept of Poka Yoke except,Prediction and Detection and clearly targets Zero Defects,Right First Time (RFT) ,Supervising the process,The reduction of waste,NIL,NIL,NIL,NIL,NIL,NIL,Supervising the process,NIL,NIL
124,PEOPLE & ORGANIZATION,The Customer Service (CS) Tires is a global organization with a local presence in about ____ countries,1,100,40,200,NIL,NIL,NIL,NIL,NIL,NIL,40,NIL,NIL
125,PEOPLE & ORGANIZATION,"About the whole corporate, which of the following is not included in the 5 guiding principles that express our understanding of quality ?",Customer satisfaction,Together,From the beginning,Efficiency,NIL,NIL,NIL,NIL,NIL,NIL,Efficiency,NIL,NIL
